customer_id,age,annual_income,spending_score,purchase_freq,avg_order_value,tenure_months,returns_rate,gender,region
1,56,43750.66970341325,21.0,11,230.81299628217238,66,0.04,F,South
2,69,83430.59053837124,92.0,36,53.14536113544983,100,0.24,M,West
3,46,55959.35636343822,99.0,10,76.43820270884399,18,0.18,F,South
4,32,26468.133224542835,86.0,21,265.93252827171614,5,0.38,F,North
5,60,24346.861683267576,23.0,20,153.80968159699964,19,0.05,F,South
6,25,75154.1272652864,64.0,48,136.11024437722853,42,0.08,F,South
7,38,22830.730432491597,67.0,8,168.82239919262616,18,0.01,F,East
8,56,67910.65182622708,40.0,36,53.487739942556345,32,0.17,M,East
9,36,71116.37964167398,10.0,29,123.5321497140942,21,0.11,M,West
10,40,35116.11590189958,89.0,42,150.21289265012413,10,0.35,M,East
11,28,82268.45209437226,52.0,12,248.5104748943546,37,0.24,F,East
12,28,17055.159405959195,72.0,14,16.36662885588791,49,0.25,M,East
13,41,67411.47334996397,75.0,48,291.0392252300617,86,0.21,F,South
14,53,58978.55166009979,61.0,50,140.02818093399657,13,0.04,M,South
15,57,57025.05060672766,64.0,21,61.155500082639264,55,0.18,F,East
16,41,30552.583925485684,5.0,22,46.6692227092487,17,0.4,F,North
17,20,36574.44989000185,53.0,21,171.8519453603365,9,0.33,M,East
18,39,100470.05062551494,55.0,44,42.223241594517944,88,0.36,F,North
19,19,90378.87522179385,37.0,50,105.1901163925521,44,0.33,M,South
20,41,78552.11471309497,56.0,30,130.00775512977614,78,0.04,M,North
21,61,83496.20258824219,59.0,39,241.49405915238606,46,0.09,M,South
22,47,81150.33861678172,93.0,20,231.47627674111789,8,0.0,F,North
23,55,51916.09469284478,69.0,24,98.56060879048327,119,0.12,F,South
24,19,61190.08879535878,73.0,23,132.98534638232624,37,0.04,F,South
25,38,23187.29054897478,59.0,7,22.36920798594035,19,0.19,F,East
26,50,57757.60932981184,2.0,9,10.0,63,0.27,M,West
27,29,89585.35623847967,65.0,1,51.67580419259042,92,0.35,F,West
28,39,43482.31879357161,60.0,26,239.84778890606484,46,0.3,M,South
29,61,85578.53011718066,51.0,38,212.4064577777168,105,0.38,M,East
30,42,62289.643467344074,30.0,38,180.67490100772912,94,0.02,F,West
31,66,25365.703358256695,11.0,44,33.390041070353845,71,0.0,F,West
32,44,32317.01216634221,92.0,22,93.06723380870835,26,0.26,M,East
33,59,82982.57174269388,76.0,44,81.37431774571027,104,0.12,F,East
34,45,73813.10213145963,39.0,10,136.72013035035502,46,0.1,M,West
35,33,62544.10182469063,90.0,6,131.67571546943074,118,0.13,F,West
36,32,53149.204643801364,77.0,17,69.84345146433371,46,0.11,F,North
37,64,65264.199440714634,72.0,51,177.93734463188346,75,0.2,M,North
38,68,82007.40623133123,63.0,50,168.3157104163391,14,0.18,M,South
39,61,96896.33201218213,64.0,38,91.69415207256428,85,0.2,M,West
40,69,98092.10498601513,61.0,24,174.3422713306025,63,0.27,F,East
41,20,69298.99751896245,54.0,51,239.94282946644165,72,0.15,F,East
42,54,55701.70774088699,92.0,10,264.2448621698597,3,0.1,F,West
43,68,63656.20019547139,94.0,8,189.25297252878872,28,0.07,M,South
44,24,73053.008931377,73.0,21,186.90143547274846,29,0.14,M,East
